ID,Question,Answer
96,বোর্ড মেম্বারদের বছরে কয়টি সভা করা লাগে?,বোর্ড মেম্বারেরা নিয়মিতভাবে তৃবার্ষিক মিটিং করে। তাছাড়া সংকটপূর্ণ অবস্থায় যেকোন সময় বোর্ড মেম্বারদের সভা বসতে পারে।
97,Who is President?,A President is elected from the nine regional chiefs.
98,Who becomes President?,A President is elected from the nine regional chiefs.
99,কে প্রেসিডেন্ট হয়?,নয়জন অঞ্চল প্রধানদের মধ্যে নির্বাচনের মাধ্যমে প্রেসিডেন্ট নির্ণয় করা হয়।
100,Where is the President elected?,Head Office
101,প্রেসিডেন্ট নির্বাচন কোথায় হয়?,সদর দপ্তর
102,Board member responsibilities,"Financial approvals and loan disbursement, normal meeting every 3 months, instant meeting during crisis, fixing interest rates, employee salary, allowance and appraisal, and vendor management"
103,বোর্ড মেম্বারদের দায়িত্ব কী?,"আর্থিক অনুমোদন, ঋণ বিতরণ, প্রতি তিন মাস পরপর সাধারণ সভা, জরুরী প্রয়োজনে সভা, সুদের হার, কর্মচারীর বেতন, পদন্নোতি নির্ণয়, ও ভেন্ডর ব্যবস্থাপনা।"
104,Hierarchy of Board Members,"All Board Members hold similar privileges, apart from the Managing Director, he sits on top of the hierarchy."
105,বোর্ড মেম্বারদের কক্ষমতার অনুক্রম,সকলের বোর্ড মেম্বারের ক্ষমতা সমান সমান কিন্তু ব্যবস্থাপনা পরিচালকের ক্ষমতা বেশি।
